height,weight,age,sex
462,129.54,21.999212,12,F
463,100.965,14.401546,5,M
464,104.14,15.87572,6,F
465,154.125888986458,55.111428,30,M
466,117.983,24.097075,13,F
467,121.92,20.184844,10,F
468,142.875,38.838815,27,F
469,149.225,42.1557065,27,F
470,149.86,40.936678,43,F
471,147.955,41.163474,37,F
472,154.94,49.6966735,26,M
473,121.92,19.617854,12,M
475,69.85,7.314171,0,F
476,67.945,7.824462,0,M
477,160.02,55.791816,48,M
479,147.32,35.550273,66,F
480,156.21,54.0624965,21,F
481,151.13,38.498621,41,F
482,167.005,47.173568,30,M
483,59.6138,5.896696,1,F
484,160.02,48.19415,25,M
485,151.765,44.338618,41,F
486,156.21,43.885026,30,F
487,159.385,50.178615,63,M
488,140.335,37.4496895,22,F
489,80.01,9.865626,1,M
490,90.805,11.3681495,5,F
491,147.32,36.967748,48,F
492,93.345,13.1825175,5,M
493,167.64,50.688906,57,M
494,160.100088515408,41.730464,29,M
495,151.13,43.4030845,58,F
496,149.225,45.075705,47,F
497,162.8648,49.384829,24,M
498,144.145,38.9238635,64,F
499,66.04,7.5693165,1,M
500,96.52,14.968536,2,F
501,166.847612909722,54.8562825,29,M
502,156.845,46.5782285,41,M
503,147.32,40.312989,16,M
504,172.72,61.80191,22,M
505,170.815,59.760746,33,M
506,71.12,7.540967,1,M
507,149.225,38.2434755,32,F
508,160,51.2,25,M
509,150.495,41.900561,55,F
510,154.9,38.2,20,M
511,137.16,28.91649,15,M
512,68.58,8.0229085,0,F
513,161.925,47.286966,60,M
514,145.415,44.9906565,37,F
515,149.225,35.8054185,82,M
516,81.5848,10.659412,3,F
517,158.75,48.6760915,28,M
518,152.7048,46.606578,33,F
520,147.955,42.751046,56,F
521,157.988,48.591043,28,M
522,156.845,45.6710445,43,F
523,155.575,50.915702,50,M
524,148.59,39.519203,62,M
525,62.23,7.257472,0,F
526,163.83,55.9335635,35,M
527,142.875,32.998818,40,F
528,130.6068,25.2594045,15,F
529,154.305,41.276872,25,F
530,157.48,42.3258035,44,M
531,151.765,47.8256065,63,M
532,159.385,48.8461885,32,M
533,159.699766556246,48.987936,39,M
534,157.48,49.214732,18,F
535,154.94,48.137451,26,F
536,147.955,49.89512,19,F
537,114.3,20.4966885,10,F
538,111.125,18.313777,6,F
539,133.35,23.756881,14,F
540,151.13,43.9700745,26,M
541,85.09,11.453198,3,M
542,124.46,19.27766,12,F
544,99.695,16.2442635,5,F
545,103.505,12.757275,6,F
546,158.115,46.266384,45,M
547,170.18,47.5988105,58,M
548,150.495,44.111822,50,F
549,123.825,21.205426,10,M
550,151.13,46.1246365,35,F
551,154.94,47.2019175,22,F
552,76.2,9.2135875,1,M
553,153.67,40.5114355,73.9000000000001,F
554,156.21,44.338618,29,F
555,146.05,31.864838,44,F
556,155.575,42.0990075,26,F
557,152.4,45.1607535,38,F
558,143.51,38.55532,43,F
560,113.03,19.050864,9,M
561,172.9994,51.255896,38,M
562,162.56,45.699394,55,M
563,101.6,13.494362,4,F
564,171.1198,56.5572525,37,M
566,156.966926354498,54.2892925,44,M
567,143.51,31.071052,18,F
568,150.495,49.8100715,50,F
569,156.21,44.0267735,33,F
570,106.045,16.272613,6,M
571,167.005,52.900167,32,M
572,143.51,34.8415355,16,M
